timestamp,heart rate zone type,kcal,data source
2026-05-01T00:55:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,2.7276960000000003,Fitbit App
2026-05-01T00:56:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.182312,Fitbit App
2026-05-01T00:57:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T00:58:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T00:59:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,2.955004,Fitbit App
2026-05-01T01:00:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.6369280000000006,Fitbit App
2026-05-01T01:01:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.6369280000000006,Fitbit App
2026-05-01T01:02:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,4.091544000000001,Fitbit App
2026-05-01T01:03:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,4.318852000000001,Fitbit App
2026-05-01T01:04:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,2.955004,Fitbit App
2026-05-01T01:05:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.4096200000000003,Fitbit App
2026-05-01T01:06:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T01:07:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T01:08:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T01:09:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T01:10:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T01:11:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T01:12:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T01:13:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T01:14:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T01:15:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T01:16:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T01:17:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,2.7276960000000003,Fitbit App
2026-05-01T01:18:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.4096200000000003,Fitbit App
2026-05-01T01:19:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.182312,Fitbit App
2026-05-01T01:20:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,2.955004,Fitbit App
2026-05-01T01:21:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,4.773468,Fitbit App
2026-05-01T01:22:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,4.54616,Fitbit App
2026-05-01T01:23:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.4096200000000003,Fitbit App
2026-05-01T01:24:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.6369280000000006,Fitbit App
2026-05-01T01:25:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.182312,Fitbit App
2026-05-01T01:26:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.6369280000000006,Fitbit App
2026-05-01T01:27:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.6369280000000006,Fitbit App
2026-05-01T01:28:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.6369280000000006,Fitbit App
2026-05-01T01:29:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.6369280000000006,Fitbit App
2026-05-01T01:30:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.6369280000000006,Fitbit App
2026-05-01T01:31:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.6369280000000006,Fitbit App
2026-05-01T01:32:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,2.7276960000000003,Fitbit App
2026-05-01T01:33:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.6369280000000006,Fitbit App
2026-05-01T01:34:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.182312,Fitbit App
2026-05-01T01:35:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,2.7276960000000003,Fitbit App
2026-05-01T01:36:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,2.955004,Fitbit App
2026-05-01T01:37:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.4096200000000003,Fitbit App
2026-05-01T01:38:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,2.7276960000000003,Fitbit App
2026-05-01T01:39:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.182312,Fitbit App
2026-05-01T01:40:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.182312,Fitbit App
2026-05-01T01:41:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.6369280000000006,Fitbit App
2026-05-01T01:42:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.8642360000000004,Fitbit App
2026-05-01T01:43:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,2.7276960000000003,Fitbit App
2026-05-01T01:44:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.182312,Fitbit App
2026-05-01T01:45:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,2.955004,Fitbit App
2026-05-01T01:46:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,2.955004,Fitbit App
2026-05-01T01:47:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,4.773468,Fitbit App
2026-05-01T01:48:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,4.318852000000001,Fitbit App
2026-05-01T01:49:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,6.705586000000001,Fitbit App
2026-05-01T01:50:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,6.932894,Fitbit App
2026-05-01T01:51:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.182312,Fitbit App
2026-05-01T01:52:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,2.7276960000000003,Fitbit App
2026-05-01T01:53:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,4.773468,Fitbit App
2026-05-01T01:54:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.182312,Fitbit App
2026-05-01T01:55:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,6.478278,Fitbit App
2026-05-01T01:56:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,8.52405,Fitbit App
2026-05-01T01:57:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,4.318852000000001,Fitbit App
2026-05-01T01:58:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,8.978666,Fitbit App
2026-05-01T01:59:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.182312,Fitbit App
2026-05-01T02:00:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:01:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,2.955004,Fitbit App
2026-05-01T02:02:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,8.751358000000002,Fitbit App
2026-05-01T02:03:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,4.773468,Fitbit App
2026-05-01T02:04:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,7.160202000000001,Fitbit App
2026-05-01T02:05:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,6.705586000000001,Fitbit App
2026-05-01T02:06:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.182312,Fitbit App
2026-05-01T02:07:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.182312,Fitbit App
2026-05-01T02:08:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:09:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:10:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:11:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:12:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:13:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:14:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:15:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:16:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:17:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:18:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:19:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:20:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:21:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:22:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:23:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:24:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:25:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:26:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:27:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:28:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:29:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:30:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:31:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,2.7276960000000003,Fitbit App
2026-05-01T02:32:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.8642360000000004,Fitbit App
2026-05-01T02:33:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,4.773468,Fitbit App
2026-05-01T02:34:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.4096200000000003,Fitbit App
2026-05-01T02:35:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,4.773468,Fitbit App
2026-05-01T02:36:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,6.478278,Fitbit App
2026-05-01T02:37:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,7.6148180000000005,Fitbit App
2026-05-01T02:38:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,2.955004,Fitbit App
2026-05-01T02:39:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,2.7276960000000003,Fitbit App
2026-05-01T02:40:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:41:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:42:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,2.7276960000000003,Fitbit App
2026-05-01T02:43:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.4096200000000003,Fitbit App
2026-05-01T02:44:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,2.7276960000000003,Fitbit App
2026-05-01T02:45:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:46:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,2.7276960000000003,Fitbit App
2026-05-01T02:47:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.6369280000000006,Fitbit App
2026-05-01T02:48:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:49:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:50:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:51:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:52:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:53:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:54:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:55:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:56:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:57:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:58:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T02:59:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T03:00:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13654,Fitbit App
2026-05-01T03:01:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,2.7276960000000003,Fitbit App
2026-05-01T03:02:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,4.54616,Fitbit App
2026-05-01T03:03:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.4096200000000003,Fitbit App
2026-05-01T03:04:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,2.955004,Fitbit App
2026-05-01T03:05:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,2.955004,Fitbit App
2026-05-01T03:06:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,4.318852000000001,Fitbit App
2026-05-01T03:07:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,6.478278,Fitbit App
2026-05-01T03:08:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,4.091544000000001,Fitbit App
2026-05-01T03:09:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,4.318852000000001,Fitbit App
2026-05-01T03:10:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,6.932894,Fitbit App
2026-05-01T03:11:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,6.932954999999999,Fitbit App
2026-05-01T03:12:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,6.4783349999999995,Fitbit App
2026-05-01T03:13:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.1823399999999995,Fitbit App
2026-05-01T03:14:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.1823399999999995,Fitbit App
2026-05-01T03:15:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,4.77351,Fitbit App
2026-05-01T03:16:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,6.4783349999999995,Fitbit App
2026-05-01T03:17:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,2.7277199999999997,Fitbit App
2026-05-01T03:18:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.63696,Fitbit App
2026-05-01T03:19:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,2.95503,Fitbit App
2026-05-01T03:20:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.86427,Fitbit App
2026-05-01T03:21:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,4.5462,Fitbit App
2026-05-01T03:22:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,4.77351,Fitbit App
2026-05-01T03:23:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,6.932954999999999,Fitbit App
2026-05-01T03:24:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,4.31889,Fitbit App
2026-05-01T03:25:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,9.206055,Fitbit App
2026-05-01T03:26:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,7.842195,Fitbit App
2026-05-01T03:27:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,4.77351,Fitbit App
2026-05-01T03:28:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,6.4783349999999995,Fitbit App
2026-05-01T03:29:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.63696,Fitbit App
2026-05-01T03:30:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.40965,Fitbit App
2026-05-01T03:31:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.1823399999999995,Fitbit App
2026-05-01T03:32:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,7.160265,Fitbit App
2026-05-01T03:33:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,4.31889,Fitbit App
2026-05-01T03:34:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.40965,Fitbit App
2026-05-01T03:35:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,2.95503,Fitbit App
2026-05-01T03:36:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.1823399999999995,Fitbit App
2026-05-01T03:37:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.63696,Fitbit App
2026-05-01T03:38:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.40965,Fitbit App
2026-05-01T03:39:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,2.95503,Fitbit App
2026-05-01T03:40:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13655,Fitbit App
2026-05-01T03:41:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.13655,Fitbit App
2026-05-01T03:42:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,2.95503,Fitbit App
2026-05-01T03:43:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,4.77351,Fitbit App
2026-05-01T03:44:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,3.63696,Fitbit App
2026-05-01T03:45:03Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,4.31889,Fitbit App
